STDM_TAZ,State,County,MPO,IsMPO,ITDDist,Area,DayPark,HourPark,AgforF,MiningF,UtilF,ConstrF,ManufF,WhlsaleF,RetailF,TrawhseF,InfoF,FininsF,EduK12,EduHigh,EduOthers,RealestF,ProftechF,MgmtF,WastadmnF,HealthF,ArtsentF,FoodlodgF,OtherF,PublicF,TotEmp,STATEFPS,COUNTYFPS,CNTYIDFP00,TOTPOP_T,TOTHH_T,HHSIZE1,HHSIZE2,HHSIZE3,HHSIZE4,HHSIZE5,HHSIZE6,HHSIZE7,HHWORK0,HHWORK1,HHWORK2,HHWORK3,CATINC1,CATINC2,CATINC3,HHSIZE1_O,HHWORK0_O,HHINC1,HHINC2,HHINC3,HHINC4,HHINC5,HHINC6,HHINC7,HHINC8,HHINC9,HHINC10,HHINC11,HHINC12,HHINC13,HHINC14,HHINC15,HHINC16,ShadowPrice,destinationChoiceDistrict
979,Idaho,Ada,COMPASS,1,3,73023.49621,0,0,0,0,0,11,0,1,11,0,0,14,0,0,8,1,3,0,1,27,0,14,8,2,101,16,1,16001,86,39,18,13,1,4,3,0,0,8,17,12,2,9,14,16,18,9,3,1,2,1,2,3,2,3,2,4,4,4,3,1,3,1,1,3
980,Idaho,Ada,COMPASS,1,3,77676.2628,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,53,0,2,62,16,1,16001,101,50,25,16,2,4,3,0,0,11,22,15,2,10,17,23,24,11,4,1,2,1,2,3,3,3,3,5,5,5,4,2,3,2,1,3
981,Idaho,Ada,COMPASS,1,3,60238.50697,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,45,8,0,0,0,0,8,8,0,84,16,1,16001,130,78,48,15,9,5,0,1,0,17,34,24,3,17,27,34,49,17,6,2,4,2,3,5,5,5,4,8,8,8,7,3,5,3,1,3
982,Idaho,Ada,COMPASS,1,3,74353.88903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,110,45,7,20,8,5,4,1,0,9,20,14,2,10,16,19,8,10,4,1,2,1,2,3,3,3,2,5,5,5,4,2,3,2,1,3
983,Idaho,Ada,COMPASS,1,3,105620.0182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,205,87,26,30,14,12,4,0,1,20,38,26,3,19,30,38,25,19,7,3,4,2,3,6,5,6,4,9,9,9,7,3,6,3,1,3
984,Idaho,Ada,COMPASS,1,3,32127.74993,0,0,0,0,0,7,0,0,43,0,0,29,0,0,0,2,5,0,0,62,0,0,0,2,150,16,1,16001,40,20,8,9,0,2,0,1,0,4,9,6,1,6,6,8,8,4,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,3
985,Idaho,Ada,COMPASS,1,3,47266.7816,0,0,0,0,0,3,0,0,10,0,9,0,0,0,0,0,0,0,0,7,0,0,0,0,29,16,1,16001,54,25,11,6,5,2,0,1,0,5,11,8,1,6,9,10,11,6,2,1,1,1,1,2,1,2,1,3,3,3,2,1,2,1,1,3
986,Idaho,Ada,COMPASS,1,3,46407.85184,0,0,0,0,0,0,0,1,6,0,0,1,0,0,2,0,2,0,58,3,0,29,7,0,109,16,1,16001,29,15,7,4,2,2,0,0,0,2,7,5,1,3,6,6,7,3,1,0,1,0,1,1,1,1,1,2,2,2,1,1,1,1,1,3
987,Idaho,Ada,COMPASS,1,3,44831.23066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,166,74,24,26,10,10,2,1,1,17,32,22,3,16,26,32,24,17,6,2,3,2,3,5,4,5,4,8,8,8,6,3,5,3,1,3
988,Idaho,Ada,COMPASS,1,3,368066.5792,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,1,1,0,46,14,0,0,1,0,70,16,1,16001,617,227,43,78,43,35,22,4,2,57,101,63,6,85,92,50,43,58,23,5,25,13,19,13,26,15,15,23,12,26,4,1,3,1,1,3
989,Idaho,Ada,COMPASS,1,3,204678.4943,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,12,0,0,43,0,0,0,0,67,16,1,16001,419,160,40,57,26,19,9,4,5,41,71,44,4,62,65,33,40,41,16,4,18,10,14,9,19,10,11,16,9,19,3,1,2,1,1,3
990,Idaho,Ada,COMPASS,1,3,105983.5697,0,0,0,0,0,0,0,0,0,0,0,0,55,0,555,0,3,0,5,22,1,1,1,1,644,16,1,16001,114,44,12,12,9,7,2,1,1,11,20,12,1,18,19,7,12,11,5,1,5,3,4,3,5,3,3,5,2,5,1,0,1,0,1,3
991,Idaho,Ada,COMPASS,1,3,212130.2314,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,1,1,16,9,0,0,0,0,36,16,1,16001,746,319,114,91,64,29,15,4,2,81,142,88,8,121,131,67,115,81,33,7,35,19,27,18,37,21,22,33,17,37,6,2,5,1,1,3
992,Idaho,Ada,COMPASS,1,3,200428.9127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,16,1,16001,460,184,73,51,30,14,11,3,2,46,82,51,5,70,75,39,74,47,19,4,20,11,16,11,21,12,12,19,10,21,4,1,3,1,1,3
993,Idaho,Ada,COMPASS,1,3,134810.3505,0,0,0,0,0,7,1,4,4,0,0,4,0,0,0,0,10,0,0,219,0,0,13,0,262,16,1,16001,281,114,28,41,20,15,9,1,0,29,51,31,3,45,47,22,28,29,12,3,13,7,10,7,13,7,8,12,6,13,2,1,2,0,1,3
994,Idaho,Ada,COMPASS,1,3,669829.2955,0,0,0,0,0,2,2,0,0,0,22,20,2,0,0,0,0,0,18,0,0,0,0,0,66,16,1,16001,1421,489,72,176,82,87,47,20,5,77,196,184,32,100,127,262,73,76,11,17,0,16,56,23,25,13,32,34,83,108,36,21,15,0,1,3
995,Idaho,Ada,COMPASS,1,3,513921.6385,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,14,0,0,0,0,21,16,1,16001,715,243,45,69,40,51,26,7,5,37,98,92,16,50,62,131,46,38,6,8,0,8,28,11,12,6,16,17,41,54,18,11,7,0,1,3
996,Idaho,Ada,COMPASS,1,3,325859.0488,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,12,4,0,1,7,0,36,0,0,73,16,1,16001,637,197,15,68,38,42,20,9,5,31,79,74,13,40,51,106,15,31,5,7,0,6,22,9,10,5,13,14,33,44,15,9,6,0,1,3
997,Idaho,Ada,COMPASS,1,3,308933.1874,0,0,0,0,0,0,0,0,0,0,0,1,120,0,81,0,1,0,1,2,0,0,0,1,207,16,1,16001,35,15,6,6,2,0,1,0,0,2,6,6,1,3,4,8,6,2,0,1,0,0,2,1,1,0,1,1,3,3,1,1,0,0,1,3
998,Idaho,Ada,COMPASS,1,3,736272.8155,0,0,0,0,0,0,0,8,89,1,0,16,90,0,0,1,2,1,0,0,1,25,4,0,238,16,1,16001,1041,339,40,118,61,60,37,20,3,53,136,128,22,70,88,181,39,53,8,12,0,11,39,16,17,9,22,24,57,75,25,15,10,0,1,3
999,Idaho,Ada,COMPASS,1,3,339444.1703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,68,23,5,9,3,1,1,0,4,3,9,9,2,6,6,11,4,4,1,1,0,1,3,1,1,1,1,2,4,5,2,1,1,0,1,3
1000,Idaho,Ada,COMPASS,1,3,423615.7156,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,12,16,1,16001,1083,295,14,75,46,86,41,24,9,46,119,111,19,61,77,157,15,46,7,10,0,10,34,14,15,8,19,21,50,65,22,13,9,0,1,3
1001,Idaho,Ada,COMPASS,1,3,149440.1548,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,16,1,16001,17,6,0,4,0,2,0,0,0,2,2,2,0,1,0,5,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,3
1002,Idaho,Ada,COMPASS,1,3,139882.9983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16,1,16001,254,78,9,17,15,21,11,4,1,13,31,29,5,17,20,41,8,12,2,3,0,3,9,4,4,2,5,5,13,17,6,3,2,0,1,3
1003,Idaho,Ada,COMPASS,1,3,436437.3418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,11,4,1,3,0,0,0,0,0,0,2,2,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3
1004,Idaho,Ada,COMPASS,1,3,378584.6366,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,1,16001,49,17,0,9,3,2,1,1,1,3,7,6,1,4,4,9,1,3,0,1,0,1,2,1,1,0,1,1,3,4,1,1,1,0,1,3
1005,Idaho,Ada,COMPASS,1,3,430465.6562,0,0,0,0,0,180,45,13,10,9,0,0,0,0,0,0,22,12,73,0,0,0,10,0,374,16,1,16001,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1006,Idaho,Ada,COMPASS,1,3,360737.0693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,11,16,1,16001,6,4,3,1,0,0,0,0,0,0,2,2,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3
1007,Idaho,Ada,COMPASS,1,3,487594.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1008,Idaho,Ada,COMPASS,1,3,724114.8186,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,1,16001,16,7,2,4,1,0,0,0,0,1,3,3,0,1,0,6,1,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,1,3
1009,Idaho,Ada,COMPASS,1,3,511931.4143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,11,5,1,3,1,0,0,0,0,1,2,2,0,1,0,4,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,3
1010,Idaho,Ada,COMPASS,1,3,500117.5855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1011,Idaho,Ada,COMPASS,1,3,298298.3661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1012,Idaho,Ada,COMPASS,1,3,190779.2121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1013,Idaho,Ada,COMPASS,1,3,335077.4144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,7,3,0,2,1,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3
1014,Idaho,Ada,COMPASS,1,3,276862.2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1015,Idaho,Ada,COMPASS,1,3,183212.5252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1016,Idaho,Ada,COMPASS,1,3,490431.2697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,31,12,2,6,2,2,0,0,0,1,5,5,1,1,4,7,1,2,0,0,0,0,1,1,1,0,1,1,2,3,1,1,0,0,1,3
1017,Idaho,Ada,COMPASS,1,3,673986.7881,0,0,0,0,0,4,0,0,2,9,0,0,89,0,1,1,1,0,1,25,0,7,0,0,140,16,1,16001,444,154,26,64,34,18,5,3,4,24,62,58,10,32,40,82,25,24,4,5,0,5,18,7,8,4,10,11,26,34,11,7,5,0,1,3
1018,Idaho,Ada,COMPASS,1,3,493992.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,31,12,2,6,2,2,0,0,0,1,5,5,1,1,4,7,1,2,0,0,0,0,1,1,1,0,1,1,2,3,1,1,0,0,1,3
1019,Idaho,Ada,COMPASS,1,3,348853.1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,21,9,1,5,2,1,0,0,0,1,4,3,1,1,2,6,1,1,0,0,0,0,1,0,0,0,1,1,2,2,1,0,0,0,1,3
1020,Idaho,Ada,COMPASS,1,3,700610.1168,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,12,16,1,16001,1530,520,84,153,103,116,41,14,9,132,231,143,14,197,213,110,84,132,53,12,57,31,44,30,60,34,35,54,28,60,10,2,8,2,1,3
1021,Idaho,Ada,COMPASS,1,3,294244.6753,0,0,0,0,0,4,0,0,4,0,0,14,0,0,0,0,26,0,0,24,4,0,8,0,84,16,1,16001,709,267,61,93,39,48,15,7,4,68,118,74,7,101,108,58,60,68,27,6,29,16,23,15,31,17,18,27,14,31,5,1,4,1,1,3
1022,Idaho,Ada,COMPASS,1,3,326989.8022,0,0,0,0,0,93,23,39,10,5,0,0,0,0,0,0,255,5,13,52,0,0,5,0,500,16,1,16001,463,185,44,73,30,22,9,2,5,47,82,51,5,70,75,40,45,47,19,4,20,11,16,11,21,12,12,19,10,22,4,1,3,1,1,3
1023,Idaho,Ada,COMPASS,1,3,185673.5658,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,67,16,1,16001,362,159,52,59,26,13,7,2,0,40,71,44,4,60,64,35,52,40,16,4,18,9,13,9,18,10,11,16,9,18,3,1,2,1,1,3
1024,Idaho,Ada,COMPASS,1,3,168630.6798,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,16,1,16001,99,32,5,8,6,9,1,1,2,8,14,9,1,13,13,6,5,8,3,1,4,2,3,2,4,2,2,3,2,4,1,0,0,0,1,3
1025,Idaho,Ada,COMPASS,1,3,168760.3642,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,16001,6,3,0,3,0,0,0,0,0,1,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1026,Idaho,Ada,COMPASS,1,3,140236.8285,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,16,1,16001,58,34,14,16,2,1,0,1,0,9,15,9,1,13,14,7,15,9,3,1,4,2,3,2,4,2,2,4,2,4,1,0,1,0,1,3
1027,Idaho,Ada,COMPASS,1,3,374798.2997,0,0,0,0,0,11,0,0,0,0,0,0,0,0,69,0,19,0,1,0,0,6,0,141,247,16,1,16001,3,2,1,1,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1028,Idaho,Ada,COMPASS,1,3,385053.3093,0,0,0,0,0,29,100,22,401,1,28,22,0,0,0,2,34,0,10,156,0,154,0,3,962,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1029,Idaho,Ada,COMPASS,1,3,396937.6694,0,0,0,0,0,17,18,1,29,0,0,0,0,0,12,0,29,0,16,18,18,0,6,15,179,16,1,16001,7,4,2,1,1,0,0,0,0,1,2,1,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1030,Idaho,Ada,COMPASS,1,3,249840.0096,0,0,0,0,0,0,0,0,0,0,0,63,0,0,41,0,1,0,3,0,0,3,0,79,190,16,1,16001,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1031,Idaho,Ada,COMPASS,1,3,112031.3874,0,0,0,0,0,21,0,3,53,0,0,11,0,0,0,0,1,0,21,338,46,126,1,4,625,16,1,16001,4,2,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1032,Idaho,Ada,COMPASS,1,3,260642.9227,0,0,0,0,0,0,19,142,4,0,0,5,0,0,0,0,8,10,0,6,0,0,5,1,200,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1033,Idaho,Ada,COMPASS,1,3,137518.7945,0,0,0,0,0,2,100,51,8,0,29,17,0,0,0,5,101,5,11,212,0,63,0,2,606,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1034,Idaho,Ada,COMPASS,1,3,349081.7975,0,0,0,0,0,0,0,1,0,0,1,0,0,0,12,0,1,0,0,0,0,3,0,0,18,16,1,16001,172,57,4,19,19,8,2,1,4,13,25,17,2,14,20,23,5,13,5,2,3,2,2,4,3,4,3,6,6,6,5,2,4,2,1,3
1035,Idaho,Ada,COMPASS,1,3,328083.3031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,16,1,16001,223,73,5,29,15,12,8,4,0,16,32,22,3,16,26,31,5,16,6,2,3,2,3,5,4,5,4,8,8,8,6,3,5,3,1,3
1036,Idaho,Ada,COMPASS,1,3,651113.0639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,40,10,0,4,2,0,2,0,2,1,4,4,1,1,2,7,1,2,0,0,0,0,1,0,0,1,0,1,2,2,1,0,0,0,1,3
1037,Idaho,Ada,COMPASS,1,3,162605.2701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,16,1,16001,55,16,1,3,3,2,1,0,6,3,7,5,1,3,6,7,0,4,1,0,1,0,1,1,1,1,1,2,2,2,1,1,1,1,1,3
1038,Idaho,Ada,COMPASS,1,3,163441.0005,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0,6,2,45,0,9,0,0,0,2,81,16,1,16001,129,43,3,19,6,8,4,1,2,9,19,13,2,9,15,19,4,10,3,1,2,1,2,3,3,3,2,4,4,5,4,2,3,2,1,3
1039,Idaho,Ada,COMPASS,1,3,524206.0513,0,0,0,0,0,0,0,0,1,0,0,43,0,0,194,1,35,0,8,83,0,91,20,0,476,16,1,16001,96,29,4,8,7,5,2,1,2,6,13,9,1,6,10,13,5,7,2,1,1,1,1,2,2,2,1,3,3,3,2,1,2,1,1,3
1040,Idaho,Ada,COMPASS,1,3,325106.5792,0,0,0,0,0,1,0,5,1,0,0,12,0,0,0,0,2,0,2,3,0,7,0,0,33,16,1,16001,754,254,49,61,34,71,29,8,2,57,110,77,10,56,89,109,49,57,20,7,12,7,10,17,15,18,13,26,26,27,21,9,16,9,1,3
1041,Idaho,Ada,COMPASS,1,3,322895.6631,0,0,0,0,0,141,41,28,504,23,17,5,0,0,1,6,92,0,97,293,2,225,10,2,1487,16,1,16001,44,17,3,8,2,2,1,1,0,4,7,5,1,4,6,7,3,4,1,1,1,0,1,1,1,1,1,2,2,2,1,1,1,1,1,3
1042,Idaho,Ada,COMPASS,1,3,165381.5067,0,0,0,0,0,8,1,1,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,19,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1043,Idaho,Ada,COMPASS,1,3,630261.405,0,0,0,0,0,0,2,1,0,0,1,1,67,0,21,0,2,0,1,86,0,0,30,1,213,16,1,16001,1022,369,54,140,80,54,26,9,6,93,164,102,10,140,151,78,55,94,38,8,41,22,31,21,43,24,25,38,20,43,7,2,5,1,1,3
1044,Idaho,Ada,COMPASS,1,3,576334.5302,0,0,0,0,0,18,35,30,18,2,0,1,0,0,0,0,13,5,79,4,0,0,9,0,214,16,1,16001,22,8,2,3,0,0,3,0,0,2,4,2,0,3,4,1,3,2,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,3
1045,Idaho,Ada,COMPASS,1,3,183954.6888,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,92,0,0,41,0,0,0,0,0,236,16,1,16001,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1046,Idaho,Ada,COMPASS,1,3,523682.3441,0,0,0,0,0,2,77,5,18,1,0,2,0,0,0,0,12,0,4,9,1,1,39,0,171,16,1,16001,1124,446,119,137,74,68,28,14,6,99,194,135,18,100,154,192,119,100,35,13,21,13,18,29,26,31,22,46,46,48,37,16,29,16,1,3
1047,Idaho,Ada,COMPASS,1,3,103327.2164,1.00E-02,0,0,0,0,69,30,26,12,28,0,5,0,0,4,0,1,0,33,0,0,0,6,0,214,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1048,Idaho,Ada,COMPASS,1,3,56068.56649,0.02,0,0,0,0,20,9,8,4,8,0,1,0,0,0,0,0,0,10,0,0,0,2,0,62,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1049,Idaho,Ada,COMPASS,1,3,55125.69432,0,0,0,0,0,20,9,8,4,8,0,1,0,0,0,0,0,0,10,0,0,0,2,0,62,16,1,16001,229,94,28,26,20,15,4,1,0,21,41,28,4,21,33,40,27,21,7,3,4,3,4,6,6,6,5,10,10,10,8,3,6,3,1,3
1050,Idaho,Ada,COMPASS,1,3,655867.6882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,108,29,0,8,5,5,5,3,3,5,12,10,2,6,9,14,1,5,1,1,1,1,2,1,1,3,1,3,5,5,2,1,1,0,1,3
1051,Idaho,Ada,COMPASS,1,3,63546.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1052,Idaho,Ada,COMPASS,1,3,337995.244,0,0,0,0,0,42,0,41,17,72,2,749,0,0,0,0,6,0,3,22,0,0,0,2,956,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1053,Idaho,Ada,COMPASS,1,3,137400.1467,0,0,0,0,0,0,0,1,73,0,0,0,0,0,0,0,0,0,10,0,0,156,0,1,241,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1054,Idaho,Ada,COMPASS,1,3,660560.5673,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,16,1,16001,98,37,4,18,6,7,0,2,0,5,15,14,3,5,7,25,4,5,0,1,1,1,2,2,1,1,0,3,6,6,3,3,3,2,1,3
1055,Idaho,Ada,COMPASS,1,3,305721.4574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1056,Idaho,Ada,COMPASS,1,3,311183.1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,8,4,0,2,1,1,0,0,0,0,2,2,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3
1057,Idaho,Ada,COMPASS,1,3,736226.1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,104,38,2,17,8,9,0,2,0,6,15,14,3,5,8,25,3,6,0,1,1,1,2,2,1,1,0,4,6,7,3,3,3,3,1,3
1058,Idaho,Ada,COMPASS,1,3,261893.0162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1059,Idaho,Ada,COMPASS,1,3,565341.4712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,11,3,1,0,1,1,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
1060,Idaho,Ada,COMPASS,1,3,390144.1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,16001,11,4,0,0,2,2,0,0,0,0,2,2,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3
1061,Idaho,Ada,COMPASS,1,3,301462.2854,0,0,0,0,0,11,17,12,5,34,0,0,0,0,0,0,0,0,0,33,0,0,0,0,112,16,1,16001,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1062,Idaho,Ada,COMPASS,1,3,281165.1443,0,0,0,0,0,0,0,335,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1063,Idaho,Ada,COMPASS,1,3,685028.9965,0,0,0,0,0,17,2,0,14,34,3,184,0,4,19,38,108,1,8,297,15,132,0,5,881,16,1,16001,23,10,3,4,2,1,0,0,0,1,4,4,1,0,2,8,2,1,0,0,0,0,0,1,0,0,0,1,2,2,1,1,1,1,1,3
1064,Idaho,Ada,COMPASS,1,3,1060040.652,0,0,0,0,0,5,0,0,0,0,0,2,18,0,0,4,0,1,0,12,0,0,0,0,42,16,1,16001,1773,639,109,244,109,110,45,15,7,93,252,242,52,82,132,425,109,93,8,10,10,23,31,32,11,24,6,59,104,110,58,56,54,43,1,3
