STDM_TAZ,State,County,MPO,IsMPO,ITDDist,Area,DayPark,HourPark,AgforF,MiningF,UtilF,ConstrF,ManufF,WhlsaleF,RetailF,TrawhseF,InfoF,FininsF,EduK12,EduHigh,EduOthers,RealestF,ProftechF,MgmtF,WastadmnF,HealthF,ArtsentF,FoodlodgF,OtherF,PublicF,TotEmp,STATEFPS,COUNTYFPS,CNTYIDFP00,TOTPOP_T,TOTHH_T,HHSIZE1,HHSIZE2,HHSIZE3,HHSIZE4,HHSIZE5,HHSIZE6,HHSIZE7,HHWORK0,HHWORK1,HHWORK2,HHWORK3,CATINC1,CATINC2,CATINC3,HHSIZE1_O,HHWORK0_O,HHINC1,HHINC2,HHINC3,HHINC4,HHINC5,HHINC6,HHINC7,HHINC8,HHINC9,HHINC10,HHINC11,HHINC12,HHINC13,HHINC14,HHINC15,HHINC16,ShadowPrice,destinationChoiceDistrict
11,Idaho,Ada,COMPASS,1,3,47582.62173,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,3,22,0,0,9,0,0,0,0,46,16,1,16001,153,103,61,31,5,3,3,0,0,34,56,12,1,55,33,15,60,34,17,20,9,3,6,12,8,5,1,7,2,4,7,0,1,2,1,3
12,Idaho,Ada,COMPASS,1,3,11966.94736,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,107,0,0,193,0,304,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
13,Idaho,Ada,COMPASS,1,3,36392.69206,0,0,0,0,0,0,0,2,21,0,0,81,0,0,0,0,13,0,18,32,0,0,13,0,180,16,1,16001,71,49,34,13,2,0,0,0,0,16,27,6,0,26,14,9,34,16,8,9,4,2,3,5,4,2,0,3,1,2,3,0,0,1,1,3
14,Idaho,Ada,COMPASS,1,3,72043.77191,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,77,5,0,23,2,0,5,0,116,16,1,16001,168,92,38,32,11,8,3,0,0,31,50,10,1,49,28,15,38,31,15,18,8,3,5,10,7,4,1,6,2,4,6,0,1,2,1,3
15,Idaho,Ada,COMPASS,1,3,36003.80959,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,30,0,0,12,0,0,0,0,57,16,1,16001,109,84,47,15,8,10,0,0,4,27,46,10,1,45,24,15,47,28,14,16,7,3,5,9,6,4,0,5,2,3,6,0,1,2,1,3
16,Idaho,Ada,COMPASS,1,3,107808.4332,0,0,0,0,0,22,6,7,121,2,1,17,0,0,0,54,38,1,2,11,0,80,26,1,389,16,1,16001,136,75,35,31,4,2,3,0,0,24,41,9,1,41,23,11,34,25,12,15,7,3,4,8,6,4,0,5,2,3,5,0,1,2,1,3
17,Idaho,Ada,COMPASS,1,3,71753.80235,0,0,0,0,0,3,80,5,55,0,62,27,0,0,3,4,19,13,5,13,0,0,5,0,294,16,1,16001,83,60,42,13,4,0,0,0,1,20,33,7,0,33,18,9,42,20,10,12,5,2,4,7,4,3,0,4,1,2,4,0,0,1,1,3
18,Idaho,Ada,COMPASS,1,3,107162.9151,0,0,0,0,0,1,0,0,0,0,1,19,0,0,0,14,0,0,2,23,0,65,110,0,235,16,1,16001,274,186,123,32,18,8,5,0,0,63,101,21,1,100,57,29,124,62,30,36,17,6,11,21,14,9,1,12,4,7,12,0,1,4,1,3
19,Idaho,Ada,COMPASS,1,3,35531.59715,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,2,0,0,29,0,0,4,0,89,16,1,16001,29,11,7,4,0,0,0,0,0,4,6,1,0,6,4,1,7,4,2,2,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,3
20,Idaho,Ada,COMPASS,1,3,47968.81825,0,0,0,0,88,0,2,8,56,20,0,50,0,0,0,2,393,108,30,0,0,54,98,2,911,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
21,Idaho,Ada,COMPASS,1,3,23957.63467,0,0,0,0,0,0,0,0,6,0,2,230,0,0,0,0,19,46,1,0,0,28,0,1,333,16,1,16001,4,4,4,0,0,0,0,0,0,2,2,0,0,2,0,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
22,Idaho,Ada,COMPASS,1,3,48445.66448,0,0,0,0,150,32,38,9,6,0,6,227,0,0,0,105,175,0,33,2,1,34,9,2,829,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
23,Idaho,Ada,COMPASS,1,3,23868.89893,0,0,0,0,0,0,0,2,32,0,0,0,0,0,0,0,18,0,22,0,0,0,0,29,103,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
24,Idaho,Ada,COMPASS,1,3,47987.00618,0,0,0,0,0,1,6,73,77,2,14,46,0,0,0,27,261,85,7,1,21,307,80,71,1079,16,1,16001,57,46,36,9,1,0,0,0,0,16,25,5,0,25,13,8,36,15,7,9,4,2,3,5,3,2,0,3,1,2,3,0,0,1,1,3
25,Idaho,Ada,COMPASS,1,3,47779.82099,0.41,0.12,0,0,0,0,0,0,13,0,1,0,0,0,0,0,2,1,2,0,0,0,1,336,356,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
26,Idaho,Ada,COMPASS,1,3,48262.20852,0,0,54,0,0,10,2,48,1,1,15,9,0,0,1,26,187,0,4,3,0,110,18,117,606,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
27,Idaho,Ada,COMPASS,1,3,47953.37873,0,0,0,0,0,0,0,7,0,0,2,14,0,0,0,0,77,0,0,98,0,16,11,0,225,16,1,16001,53,41,30,10,1,0,0,0,0,14,22,5,0,22,13,6,30,14,7,8,4,1,2,5,3,2,0,3,1,2,3,0,0,1,1,3
28,Idaho,Ada,COMPASS,1,3,23804.93007,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,1,0,1,0,0,0,0,86,121,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
29,Idaho,Ada,COMPASS,1,3,101196.4259,0,0,0,0,0,0,0,0,6,0,5,5,0,0,5,3,46,4,25,5021,4,11,2,20,5157,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
30,Idaho,Ada,COMPASS,1,3,44566.4572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,0,0,30,7,0,19,1,83,16,1,16001,9,7,4,3,0,0,0,0,0,2,4,1,0,3,2,2,4,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3
31,Idaho,Ada,COMPASS,1,3,48342.30717,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,11,0,1,18,0,0,3,0,36,16,1,16001,120,89,61,25,2,0,1,0,0,29,49,10,1,47,28,14,60,30,14,17,8,3,5,10,7,4,1,6,2,3,6,0,1,2,1,3
32,Idaho,Ada,COMPASS,1,3,50090.82385,0,0,0,0,0,0,8,9,14,0,0,35,0,0,0,6,12,0,148,0,6,436,9,2,685,16,1,16001,9,6,5,0,0,1,0,0,0,2,3,1,0,3,1,2,5,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
33,Idaho,Ada,COMPASS,1,3,23956.83902,0,0,0,0,0,0,0,3,15,0,7,4,0,0,1,4,20,2,9,10,1,24,2,1989,2091,16,1,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
34,Idaho,Ada,COMPASS,1,3,23861.72662,0,0,0,0,0,3,21,0,3,0,0,8,0,0,0,0,32,0,3,15,0,0,3,25,113,16,1,16001,8,5,3,2,0,0,0,0,0,1,3,1,0,2,1,2,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
