STDM_TAZ,State,County,MPO,ITDDist,Area,CNTYFIPS,sector,size,pfirmID
1,Idaho,Ada,COMPASS,3,55180.76664,16001,Education,2,1
1,Idaho,Ada,COMPASS,3,55180.76664,16001,Households,8,2
1,Idaho,Ada,COMPASS,3,55180.76664,16001,Public,945,3
1,Idaho,Ada,COMPASS,3,55180.76664,16001,Service,74,4
2,Idaho,Ada,COMPASS,3,48183.9324,16001,Households,2,5
2,Idaho,Ada,COMPASS,3,48183.9324,16001,Public,488,6
2,Idaho,Ada,COMPASS,3,48183.9324,16001,Retail,10,7
2,Idaho,Ada,COMPASS,3,48183.9324,16001,Service,223,8
3,Idaho,Ada,COMPASS,3,24043.50147,16001,Households,1,9
3,Idaho,Ada,COMPASS,3,24043.50147,16001,Service,39,10
4,Idaho,Ada,COMPASS,3,16480.93695,16001,Households,49,11
4,Idaho,Ada,COMPASS,3,16480.93695,16001,Public,31,12
4,Idaho,Ada,COMPASS,3,16480.93695,16001,Service,18,13
6,Idaho,Ada,COMPASS,3,70945.50709,16001,Households,128,14
6,Idaho,Ada,COMPASS,3,70945.50709,16001,Public,10,15
6,Idaho,Ada,COMPASS,3,70945.50709,16001,Retail,8,16
6,Idaho,Ada,COMPASS,3,70945.50709,16001,Service,54,17
7,Idaho,Ada,COMPASS,3,24031.77769,16001,Households,12,18
7,Idaho,Ada,COMPASS,3,24031.77769,16001,Service,140,19
8,Idaho,Ada,COMPASS,3,48052.73195,16001,Households,45,20
8,Idaho,Ada,COMPASS,3,48052.73195,16001,Retail,13,21
8,Idaho,Ada,COMPASS,3,48052.73195,16001,Service,8,22
9,Idaho,Ada,COMPASS,3,24198.26243,16001,Households,53,23
9,Idaho,Ada,COMPASS,3,24198.26243,16001,Retail,6,24
9,Idaho,Ada,COMPASS,3,24198.26243,16001,Service,36,25
10,Idaho,Ada,COMPASS,3,36014.24114,16001,Education,121,26
10,Idaho,Ada,COMPASS,3,36014.24114,16001,Public,2,27
10,Idaho,Ada,COMPASS,3,36014.24114,16001,Service,2,28
11,Idaho,Ada,COMPASS,3,47582.62173,16001,Households,103,29
11,Idaho,Ada,COMPASS,3,47582.62173,16001,Retail,5,30
11,Idaho,Ada,COMPASS,3,47582.62173,16001,Service,41,31
12,Idaho,Ada,COMPASS,3,11966.94736,16001,Service,304,32
13,Idaho,Ada,COMPASS,3,36392.69206,16001,Households,49,33
13,Idaho,Ada,COMPASS,3,36392.69206,16001,Retail,21,34
13,Idaho,Ada,COMPASS,3,36392.69206,16001,Service,157,35
13,Idaho,Ada,COMPASS,3,36392.69206,16001,Whlsale,2,36
14,Idaho,Ada,COMPASS,3,72043.77191,16001,Constr,2,37
14,Idaho,Ada,COMPASS,3,72043.77191,16001,Households,92,38
14,Idaho,Ada,COMPASS,3,72043.77191,16001,Retail,2,39
14,Idaho,Ada,COMPASS,3,72043.77191,16001,Service,112,40
15,Idaho,Ada,COMPASS,3,36003.80959,16001,Households,84,41
15,Idaho,Ada,COMPASS,3,36003.80959,16001,Service,57,42
16,Idaho,Ada,COMPASS,3,107808.4332,16001,Constr,22,43
16,Idaho,Ada,COMPASS,3,107808.4332,16001,Households,75,44
16,Idaho,Ada,COMPASS,3,107808.4332,16001,Manuf,6,45
16,Idaho,Ada,COMPASS,3,107808.4332,16001,Public,1,46
16,Idaho,Ada,COMPASS,3,107808.4332,16001,Retail,201,47
16,Idaho,Ada,COMPASS,3,107808.4332,16001,Service,150,48
16,Idaho,Ada,COMPASS,3,107808.4332,16001,Trawhse,2,49
16,Idaho,Ada,COMPASS,3,107808.4332,16001,Whlsale,7,50
17,Idaho,Ada,COMPASS,3,71753.80235,16001,Constr,3,51
17,Idaho,Ada,COMPASS,3,71753.80235,16001,Education,3,52
17,Idaho,Ada,COMPASS,3,71753.80235,16001,Households,60,53
17,Idaho,Ada,COMPASS,3,71753.80235,16001,Manuf,80,54
17,Idaho,Ada,COMPASS,3,71753.80235,16001,Retail,55,55
17,Idaho,Ada,COMPASS,3,71753.80235,16001,Service,148,56
17,Idaho,Ada,COMPASS,3,71753.80235,16001,Whlsale,5,57
18,Idaho,Ada,COMPASS,3,107162.9151,16001,Constr,1,58
18,Idaho,Ada,COMPASS,3,107162.9151,16001,Households,186,59
18,Idaho,Ada,COMPASS,3,107162.9151,16001,Retail,65,60
18,Idaho,Ada,COMPASS,3,107162.9151,16001,Service,169,61
19,Idaho,Ada,COMPASS,3,35531.59715,16001,Households,11,62
19,Idaho,Ada,COMPASS,3,35531.59715,16001,Retail,54,63
19,Idaho,Ada,COMPASS,3,35531.59715,16001,Service,35,64
20,Idaho,Ada,COMPASS,3,47968.81825,16001,Manuf,2,65
20,Idaho,Ada,COMPASS,3,47968.81825,16001,Public,2,66
20,Idaho,Ada,COMPASS,3,47968.81825,16001,Retail,110,67
20,Idaho,Ada,COMPASS,3,47968.81825,16001,Service,681,68
20,Idaho,Ada,COMPASS,3,47968.81825,16001,Trawhse,20,69
20,Idaho,Ada,COMPASS,3,47968.81825,16001,Util,88,70
20,Idaho,Ada,COMPASS,3,47968.81825,16001,Whlsale,8,71
21,Idaho,Ada,COMPASS,3,23957.63467,16001,Households,4,72
21,Idaho,Ada,COMPASS,3,23957.63467,16001,Public,1,73
21,Idaho,Ada,COMPASS,3,23957.63467,16001,Retail,34,74
21,Idaho,Ada,COMPASS,3,23957.63467,16001,Service,298,75
22,Idaho,Ada,COMPASS,3,48445.66448,16001,Constr,32,76
22,Idaho,Ada,COMPASS,3,48445.66448,16001,Manuf,38,77
22,Idaho,Ada,COMPASS,3,48445.66448,16001,Public,2,78
22,Idaho,Ada,COMPASS,3,48445.66448,16001,Retail,41,79
22,Idaho,Ada,COMPASS,3,48445.66448,16001,Service,557,80
22,Idaho,Ada,COMPASS,3,48445.66448,16001,Util,150,81
22,Idaho,Ada,COMPASS,3,48445.66448,16001,Whlsale,9,82
23,Idaho,Ada,COMPASS,3,23868.89893,16001,Public,29,83
23,Idaho,Ada,COMPASS,3,23868.89893,16001,Retail,32,84
23,Idaho,Ada,COMPASS,3,23868.89893,16001,Service,40,85
23,Idaho,Ada,COMPASS,3,23868.89893,16001,Whlsale,2,86
24,Idaho,Ada,COMPASS,3,47987.00618,16001,Constr,1,87
24,Idaho,Ada,COMPASS,3,47987.00618,16001,Households,46,88
24,Idaho,Ada,COMPASS,3,47987.00618,16001,Manuf,6,89
