occpCode,occupLevel,catOccp,work_occ 
4010,C4-Sales Clerical Unskilled,7,5
4020,C4-Sales Clerical Unskilled,7,5
4030,C4-Sales Clerical Unskilled,7,5
4040,C2-Sales Service,6,3
4050,C4-Sales Clerical Unskilled,7,5
4060,C4-Sales Clerical Unskilled,7,5
4110,C4-Sales Clerical Unskilled,7,5
4120,C4-Sales Clerical Unskilled,7,5
4130,C4-Sales Clerical Unskilled,7,5
4140,C4-Sales Clerical Unskilled,7,5
4150,C4-Sales Clerical Unskilled,7,5
4200,D2-MaintConstRepair Specialists,8,5
4210,D2-MaintConstRepair Specialists,8,5
4220,D4-Blue Collar Unskilled,8,5
4230,D4-Blue Collar Unskilled,8,5
4240,D2-MaintConstRepair Specialists,8,5
4250,D4-Blue Collar Unskilled,8,5
4300,C1-Sales Clerical Professionals,2,2
4320,C2-Sales Service,6,3
4340,C2-Sales Service,6,5
4350,C4-Sales Clerical Unskilled,7,5
4400,C4-Sales Clerical Unskilled,7,5
4410,C4-Sales Clerical Unskilled,7,5
4420,C4-Sales Clerical Unskilled,7,5
4430,C4-Sales Clerical Unskilled,7,5
4460,C2-Sales Service,6,5
4465,C2-Sales Service,6,5
4500,C4-Sales Clerical Unskilled,7,5
4510,C2-Sales Service,6,3
4520,C4-Sales Clerical Unskilled,7,5
4530,C4-Sales Clerical Unskilled,7,5
4540,C1-Sales Clerical Professionals,2,2
4550,C1-Sales Clerical Professionals,2,2
4600,C4-Sales Clerical Unskilled,7,5
4610,C4-Sales Clerical Unskilled,7,5
4620,C1-Sales Clerical Professionals,2,3
4640,C2-Sales Service,6,3
4650,C4-Sales Clerical Unskilled,7,5
4700,C2-Sales Service,6,3
4710,C1-Sales Clerical Professionals,2,2
4720,C4-Sales Clerical Unskilled,7,5
4740,C4-Sales Clerical Unskilled,7,5
4750,C4-Sales Clerical Unskilled,7,5
4760,C2-Sales Service,6,3
4800,C1-Sales Clerical Professionals,2,3
4810,C1-Sales Clerical Professionals,2,3
4820,C1-Sales Clerical Professionals,2,3
4830,C1-Sales Clerical Professionals,2,3
4840,C1-Sales Clerical Professionals,2,3
4850,C1-Sales Clerical Professionals,2,3
