No,Airport Name,State,County,City,TAZ
1,Boise Airport (Boise Air Terminal) (Gowen Field),Idaho,Ada,Boise,186
2,Friedman Memorial Airport,Idaho,Blaine,Hailey,4312
3,Idaho Falls Regional Airport (Fanning Field),Idaho,Idaho Falls,Bonneville,2971
4,Lewiston-Nez Perce County Airport,Idaho,Nez Perce,Lewiston,4220
5,Pocatello Regional Airport,Idaho,Power,Pocatello,4563
6,Magic Valley Regional Airport (Joslin Field),Idaho,Twin Falls,Twin Falls,4589
7,Missoula International Airport,Montana,Missoula,Missoula,5668
8,Bozeman Yellowstone International Airport,Montana,Gallatin,Bozeman,5664
9,Jackson Hole Airport,Wyoming,Teton,Jackson,5663
10,Elko Regional Airport,Nevada,Elko,Elko,5658
11,Pullman/Moscow Regional Airport,Washington,Whitman,Pullman,5652
12,Spokane International Airport,Washington,Spokane,Spokane,5594
