Employment,1_Manager,2_Professional_non_retail,3_Retail,4_Industrial,5_Other
sdtRetail,5.09,5.78,37.87,7.91,43.34
sdtOtherServ,13.02,21.52,6.50,7.24,51.72
sdtHealth,7.25,60.38,0.64,1.21,30.52
sdtTransportation,7.85,7.32,0.85,8.62,75.37
sdtK12Ed,8.47,68.50,0.42,1.42,21.18
sdtHigherEd,8.47,68.50,0.42,1.42,21.18
sdtOtherEd,8.47,68.50,0.42,1.42,21.18
sdtPublicAdmin,17.65,49.19,0.29,5.16,27.71
sdtOther,19.59,10.05,6.11,17.96,46.27
