purpose,distanceAuto,distanceWalk,distanceBike,distanceTransit,distancePowerAuto,distancePowerWalk,distancePowerBike,distancePowerTransit,timeAuto,timeWalk,timeBike,timeTransit,originAuto,originNonMotor,originTransit,destinationAuto,destinationNonMotor,destinationTransit,intraLogAcres,hhs,empRetail,empOtherServices,empGovernment,empHealth,empTransportation,empOther,empHigherEd,empK12Ed,empOtherEd,distFromHome
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,-0.1173,-0.040913478,-0.195644232,0,0.95567286,0.229813754,2.364682531,-0.866562328,0.253672496,0.901022388,0,0,1,1,1,1,1,1,1,1,0.001,0
2,0,0,0,0,0,0,0,0,-0.2348,-0.0579,-0.098721441,0,0.555259292,-1.791381032,1.94734598,-0.240092826,-0.411453778,1.90907534,0,0,1,1,1,1,1,1,1,1,0.001,0
3,0,0,0,0,0,0,0,0,-0.2219,0,-1.02944282,0,0.474521184,1.289337053,4.659240409,-1.328930033,0.242550996,1.183128743,0,0.3421,0,0,0,0,0,0,0,1,0.001,0
4,0,0,0,0,0,0,0,0,-0.1076,0,-0.140121345,0,0.856394445,1.499788294,2.375588411,-0.62316185,-1.120175381,1.499668835,0,0.3421,0,0,0,0,0,0,1,0,0.001,0
5,0,0,0,0,0,0,0,0,-0.1049,-0.037824511,-1.09155967,0,0.375188202,1.404672075,5,0.213002581,0.367180923,5,0,0,1,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,-0.0745,-0.099831821,0.099633456,-0.056319389,0.475400616,0.569463722,4.001457523,1.449329396,0.541894849,2.772156529,0,0.2892,1,0.279,0,0,0,0,0.516,0.303,0.001,0
7,0,0,0,0,0,0,0,0,-0.1327,-0.492404869,-2.69683031,0,0.599352372,-1.065574199,3.340845139,1.493803618,0.733409114,3.401529954,0,0.3507,1,0.169,0.169,0.39,0,0,0.158,0.352,0.001,0
