purpose,distance,distance2,distance3,logdist,maxdist,dist2tour,dist3ptour,dist1stp,dist2stp,distpshome,intra,mclogsum,retail_emp,othsrv_emp,hhlds,gov_emp,health_emp,transp_emp,other_emp,highed_emp,k12ed_emp,othered_emp,intraacres,intrarural,intrasuburban,intraurban,intracbd,hotel_emp,othoffice_emp,columbiarivercrossing
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.0593684,-0.02582862,0.0006517,0.3401628,27,-0.0432,-0.0625,0,0,0,-1.0144,0.8,1,0.183214075,0.207712576,0,0.059178321,0.253802214,0.004980126,0,0,0,0,-5.8238,0,0,0,0,0,0
3,-0.0020427,-0.0147259,0.0005079,-1.8144433,21,-0.0044,-0.0677,0.0375,0.0375,0,-0.5444,0.4533,0,0,0,0,0,0,0,0,1,0.001,0,-4.2704,0,0,0,0,0,-2.47
4,-0.3925012,0.0054263,-0.0000574,0.4057805,9999,-0.0274,-0.1105,0.0082,0.0082,0,-1.0668,0.4425,0,0,0,0,0,0,0,1,0,0.001,0,-1.6895,0,0,0,0,0,-2.47
5,-0.2456591,-0.0003161,0.00014789,-0.1741605,25,-0.0104,-0.04,0.0587,0.1154,0.0209,-0.6864,0.9914,1,0.037665904,0,0,0,0,0,0,0,0,0,-4.6967,0,0,0,0,0,-2.47
6,-0.25823,0.005807,0.000015243,-0.223864,25,-0.0356,-0.0487,0.0435,0.0652,0,-0.2492,0.76,1,1.75487916,4.616329921,0,0,0,0,0,0,0,0,-2.5152,0,0,0,0,0,-2.47
7,-0.382545,0.0139106,-0.000164383,-0.12394,9999,-0.0279,-0.0761,0.1138,0.1693,0,-0.6275,0.8799,1,0.214423982,1.018672185,0.300472213,0,0,0,0,0,0,0,-3.4743,0,0,0,0,0,-2.47
