Variable,mcLogsum,timeIfCompleteTour,sizeHouseholds,sizeTotEmp,sizeGovtEmp,sizeSameIndustryEmp,sizeHotelEmpIfOvernight,sizeHigherEdEmpIfCol,dist0to60,dist60to70,dist70to150,distance
HOUSEHOLD,0.936,-0.016,2.793,1,0,0,1,0,2,2,2,0
WORKRELATED,0.612,-0.012,0,1,7.057,3.671,1,0,2.5,2.5,2.5,0
OTHER,1,-0.011,1.958,1,0,0,1,80.434,3,3,3,0
