Sector,SU,TT,CS,DBL,TPT
AgforF,0.2601,0.0289,0.1618,0.0113,0.0009
ConstrF,0.2601,0.0289,0.1618,0.0113,0.0009
EducationF,0.0612,0.0068,0.009,0,0
hhold,0.0891,0.0099,0.038,0,0
ManufF,0.2178,0.0242,0.0967,0.0068,0.0005
MiningF,0.2601,0.0289,0.1618,0.0113,0.0009
PublicF,0.0612,0.0068,0.009,0,0
RetailF,0.2277,0.0253,0.065,0,0
ServiceF,0.0612,0.0068,0.009,0,0
TrawhseF,0.2178,0.0242,0.0967,0.0068,0.0005
UtilF,0.2178,0.0242,0.0967,0.0068,0.0005
WhlsaleF,0.2178,0.0242,0.0967,0.0068,0.0005
