dms_orig,dms_dest,description,state
#------------------------------------------------------+
# Alaska (20) to and from...                           |
#------------------------------------------------------+
419,172,St. Louis-St. Charles-Farmington,IL
419,179,Remainder of Illinois,IL
419,181,Chicago-Naperville,IN
419,182,Indianapolis-Carmel-Muncie,IN
419,183,Fort Wayne-Huntington-Auburn,IN
419,189,Remainder of Indiana,IN
419,190,Iowa,IA
419,201,Kansas City-Overland Park,KS
419,202,Wichita-Arkansas City-Winfield,KS
419,209,Remainder of Kansas,KS
419,211,Cincinnati-Wilmington-Maysville,KY
419,212,Louisville/Jefferson County-Elizabethtown-Madison,KY
419,219,Remainder of Kentucky,KY
419,221,Baton Rouge,LA
419,222,Lake Charles,LA
419,223,New Orleans-Metairie-Hammond,LA
419,229,Remainder of Louisiana,LA
419,230,Maine,ME
419,241,Baltimore-Columbia-Towson,MD
419,242,Washington-Arlington-Alexandria,MD
419,249,Remainder of Maryland,MD
419,251,Boston-Worcester-Providence,MA
419,259,Remainder of Massachusetts,MA
419,261,Detroit-Warren-Ann Arbor,MI
419,262,Grand Rapids-Wyoming-Muskegon,MI
419,269,Remainder of Michigan,MI 
419,271,Minneapolis-St. Paul,MN
419,279,Remainder of Minnesota,MN
419,280,Mississippi,MS
419,291,Kansas City,MO
419,292,St. Louis-St. Charles-Farmington,MO
419,299,Remainder of Missouri,MO
419,300,Montana,MT
419,311,Omaha-Council Bluffs-Fremont,NE
419,319,Remainder of Nebraska,NE
419,331,Providence,NH
419,339,Remainder of New Hampshire,NH
419,341,Newark,NJ
419,342,Camden,NJ
419,350,New Mexico,NM
419,361,Albany-Schenectady,NY
419,362,Buffalo-Cheektowaga,NY
419,363,New York,NY
419,364,Rochester-Batavia-Seneca Falls,NY
419,369,Remainder of New York,NY
419,371,Charlotte-Concord,NC
419,372,Greensboro-Winston-Salem-High Point,NC
419,373,Raleigh-Durham-Chapel Hill,NC
419,379,Remainder of North Carolina,NC
419,380,North Dakota,ND
419,391,Cincinnati-Wilmington,OH
419,392,Cleveland-Akron-Canton,OH
419,393,Columbus-Marion-Zanesville,OH
419,394,Dayton-Springfield-Sidney,OH
419,399,Remainder of Ohio,OH
419,401,Oklahoma City-Shawnee,OK
419,402,Tulsa-Muskogee-Bartlesville,OK
419,409,Remainder of Oklahoma,OK
419,421,Philadelphia-Reading,PA
419,422,Pittsburgh-New Castle-Weirton,PA
419,423,New York-Newark,PA
419,429,Remainder of Pennsylvania,PA
