sector,SU,TT,CS,DBL,TPT
Agfor,0.1301,0.0145,0.0809,0.0057,0.0005
Constr,0.1301,0.0145,0.0809,0.0057,0.0005
Education,0.0306,0.0034,0.0045,0,0
Households,0.0335,0.0038,0.0143,0,0
Manuf,0.1089,0.0121,0.0484,0.0034,0.0003
Mining,0.1301,0.0145,0.0809,0.0057,0.0005
Public,0.0306,0.0034,0.0045,0,0
Retail,0.0854,0.0095,0.0244,0,0
Service,0.023,0.0026,0.0034,0,0
Trawhse,0.1089,0.0121,0.0484,0.0034,0.0003
Util,0.1089,0.0121,0.0484,0.0034,0.0003
Whlsale,0.1089,0.0121,0.0484,0.0034,0.0003
